image,template,template_score,latency_seconds,field_total,field_correct,row_accuracy,error
1.jpg,bca,0.5,2.1429,4,3,0.75,
3.jpg,bni,0.7,2.3557,4,3,0.75,
4.jpg,livin_mandiri,0.6499999999999999,2.2103,5,5,1.0,
5.jpg,,0.0,1.8299,4,4,1.0,
6.jpg,dana,0.8999999999999999,2.5094,4,3,0.75,
7.jpg,bca,0.85,1.7491,4,3,0.75,
8.jpg,bca,0.85,1.7854,4,3,0.75,
9.jpg,bca,0.85,1.7843,4,4,1.0,
10.jpg,bca,0.5,1.7806,4,4,1.0,
11.jpg,bca,0.35,2.668,3,3,1.0,
12.jpg,dana,0.7,2.9946,5,5,1.0,
13.jpg,bca,0.425,1.7326,3,3,1.0,
14.jpg,bca,0.5,1.6386,4,3,0.75,
15.jpg,dana,0.8999999999999999,1.9362,5,5,1.0,
16.jpg,seabank,0.85,1.9562,4,4,1.0,
17.jpg,bca,0.5,1.458,4,4,1.0,
18.jpg,dana,0.7,3.2076,5,4,0.8,
19.jpg,bca,0.5,2.0282,4,4,1.0,
20.jpg,seabank,0.85,1.9025,4,4,1.0,
21.jpg,bca,0.5,1.9939,5,4,0.8,
22.jpg,bca,0.5,1.931,5,4,0.8,
23.jpg,bca,0.85,1.9861,4,4,1.0,
24.jpg,dana,0.7,2.9871,5,4,0.8,
25.jpg,bca,0.5,1.919,5,4,0.8,
26.jpg,blu_bca,0.7749999999999999,2.3274,5,5,1.0,
27.jpg,bca,0.5,1.4854,4,3,0.75,
28.jpg,bni,0.7,1.8613,5,5,1.0,
29.jpg,seabank,0.85,1.8208,4,4,1.0,
31.jpg,livin_mandiri,0.6499999999999999,2.1307,5,5,1.0,
32.jpg,bca,0.35,1.8898,5,3,0.6,
33.jpg,seabank,0.85,2.1627,4,1,0.25,
34.jpg,dana,0.7,3.3888,5,4,0.8,
35.jpg,bca,0.5,1.5764,4,3,0.75,
36.jpg,dana,0.8999999999999999,2.1506,5,4,0.8,
37.jpg,,0.0,1.194,3,3,1.0,
38.jpg,livin_mandiri,0.6499999999999999,2.2571,5,5,1.0,
39.jpg,livin_mandiri,0.35,1.758,4,4,1.0,
40.jpg,bca,0.35,1.9358,5,4,0.8,
41.jpg,bca,0.85,1.5743,4,4,1.0,
42.jpg,bca,0.5,1.9105,3,3,1.0,
43.jpg,bca,0.5,1.8634,5,4,0.8,
44.jpg,livin_mandiri,0.6499999999999999,1.9822,5,5,1.0,
45.jpg,bca,0.5,1.8207,4,4,1.0,
46.jpg,bca,0.5,2.0055,4,3,0.75,
47.jpg,bca,0.5,1.9084,5,4,0.8,
48.jpg,dana,1.0,1.8691,5,4,0.8,
49.jpg,dana,0.7999999999999999,2.006,4,4,1.0,
50.jpg,livin_mandiri,0.5499999999999999,2.0546,5,5,1.0,
51.jpg,bca,0.5,1.7343,4,3,0.75,
52.jpg,bca,0.5,0.9745,4,3,0.75,
53.jpg,bca,0.5,1.8363,4,3,0.75,
54.jpg,byond_bsi,0.8999999999999999,2.0009,5,5,1.0,
55.jpg,livin_mandiri,0.6499999999999999,2.0274,5,5,1.0,
56.jpg,dana,0.7,1.7728,5,5,1.0,
57.jpg,bca,0.5,1.8494,5,4,0.8,
58.jpg,byond_bsi,0.8999999999999999,2.1841,5,5,1.0,
59.jpg,bni,0.7,2.0534,5,5,1.0,
60.jpg,livin_mandiri,0.6499999999999999,2.1236,5,4,0.8,
61.jpg,bca,0.35,2.2841,3,2,0.6666666666666666,
62.jpg,bca,0.85,1.4608,4,4,1.0,
63.jpg,byond_bsi,0.5499999999999999,2.2949,5,5,1.0,
64.jpg,bca,0.5,1.8529,5,4,0.8,
65.jpg,bni,0.7,2.0913,5,5,1.0,
66.jpg,bca,0.5,1.7265,4,4,1.0,
67.jpg,bca,0.5,2.1718,5,5,1.0,
68.jpg,dana,0.7999999999999999,1.8369,4,4,1.0,
69.jpg,bca,0.5,1.8742,5,4,0.8,
70.jpg,byond_bsi,0.5499999999999999,2.2113,5,5,1.0,
71.jpg,bca,0.5,1.332,4,4,1.0,
75.jpg,seabank,0.85,1.925,4,4,1.0,
76.jpg,dana,0.7,3.3896,5,3,0.6,
77.jpg,bca,0.425,1.685,5,4,0.8,
78.jpg,bca,0.35,1.9939,5,4,0.8,
80.jpg,dana,0.7,2.2102,5,4,0.8,
81.jpg,bca,0.35,1.6954,5,5,1.0,
84.jpg,bni,0.7,2.0803,5,5,1.0,
85.jpg,dana,0.7,2.2001,5,4,0.8,
86.jpg,bni,0.7999999999999999,2.4519,5,5,1.0,
88.jpg,dana,0.7,2.0727,5,4,0.8,
89.jpg,bni,0.7,2.1009,5,5,1.0,
95.jpg,,0.0,2.65,5,4,0.8,
97.jpg,bca,0.425,1.3884,5,3,0.6,
100.jpg,dana,0.7,2.0127,5,5,1.0,
105.jpg,seabank,0.9249999999999999,1.8991,5,5,1.0,
121.jpg,,0.0,1.7031,5,4,0.8,
131.jpg,dana,0.7,2.6355,5,3,0.6,
132.jpg,bca,0.5,2.8213,4,4,1.0,
136.jpg,dana,0.7,2.3438,5,3,0.6,
152.jpg,,0.0,2.6782,3,3,1.0,
162.png,dana,0.7999999999999999,2.5568,5,4,0.8,
163.png,dana,0.7999999999999999,2.091,5,4,0.8,
164.png,dana,0.7999999999999999,2.6353,5,4,0.8,
165.png,dana,0.7999999999999999,2.389,5,4,0.8,
311.jpeg,dana,0.7999999999999999,2.1235,5,3,0.6,
342.jpeg,bca,0.425,2.8736,5,4,0.8,
343.jpeg,,0.0,2.1901,4,4,1.0,
344.jpeg,bca,0.35,1.6313,5,5,1.0,
346.jpg,livin_mandiri,0.6499999999999999,1.7979,5,4,0.8,
348.jpg,bca,0.5,2.1749,4,2,0.5,
350.jpg,seabank,0.7,1.7859,4,4,1.0,
